# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 380:         5.762       50.906     114.30  MAASTRICHT
#
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# FHX      = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s);
# TX       = Maximum temperatuur (in 0.1 graden Celsius);
# DR       = Duur van de neerslag (in 0.1 uur);
#
# STN,YYYYMMDD,  FHX,   TX,   DR
#
  380,20180417,   40,  213,    0
  380,20180418,   50,  248,    0
  380,20180419,   60,  280,    0
  380,20180420,   40,  270,    0
  380,20180421,   40,  235,    0
  380,20180422,   70,  267,    1
  380,20180423,   50,  187,    7
  380,20180424,   60,  162,    0
  380,20180425,   70,  159,    6
  380,20180426,   70,  145,    6
  380,20180427,   50,  190,    0
  380,20180428,   60,  169,    0
  380,20180429,   70,  190,   78
  380,20180430,  110,  134,   90
  380,20180501,   80,  137,   28
  380,20180502,   60,  180,    0
  380,20180503,   40,  166,    0
  380,20180504,   60,  187,    0
  380,20180505,   60,  218,    0
  380,20180506,   60,  252,    0
  380,20180507,   60,  248,    0
  380,20180508,   40,  270,    0
  380,20180509,   50,  271,    0
  380,20180510,   50,  168,   29
  380,20180511,   40,  203,    0
  380,20180512,   60,  239,    0
  380,20180513,   50,  150,   63
  380,20180514,   40,  240,   29
  380,20180515,   50,  238,    0
  380,20180516,   60,  214,    3
  380,20180517,   60,  183,    0
  380,20180518,   40,  172,    0
  380,20180519,   40,  166,    0
  380,20180520,   60,  241,    0
  380,20180521,   70,  253,   32
  380,20180522,   60,  234,   38
  380,20180523,   50,  226,   25
  380,20180524,   60,  238,    9
  380,20180525,   20,  264,    0
  380,20180526,   50,  280,    0
  380,20180527,   60,  270,   25
  380,20180528,   50,  283,    0
  380,20180529,   60,  260,    0
